고유번호,법정동코드,공시지가,원천시도시군구코드
4413111100102960000,4413111100,501500,44130
4413111100103230000,4413111100,412200,44130
4413111100103550000,4413111100,429900,44130
4413111100103890000,4413111100,1131000,44130
4413111100103910000,4413111100,332700,44130
4413111100103910000,4413111100,640300,44130
4413111100103970000,4413111100,1309000,44130
4413111100104510000,4413111100,1892000,44130
4413111100104910000,4413111100,4787000,44130
4413111100104950000,4413111100,2855000,44130
4413111100105190000,4413111100,2951000,44130
4413111100105520000,4413111100,5064000,44130
4413111100105580000,4413111100,1221000,44130
4413111100105930000,4413111100,1241000,44130
4413111100106490000,4413111100,1052000,44130
4413111100106570000,4413111100,996600,44130
4413111100107220000,4413111100,2229000,44130
4413111100107840000,4413111100,1227000,44130
4413111100108090000,4413111100,1167000,44130
4413111100108190000,4413111100,773000,44130
4413111100108510000,4413111100,1230000,44130
4413111100108880000,4413111100,908000,44130
4413111100109270000,4413111100,1190000,44130
4413111100109780000,4413111100,1222000,44130
4413111200100520000,4413111200,246400,44130
4413111200100740000,4413111200,113500,44130
4413111200100820000,4413111200,258300,44130
4413111200100980000,4413111200,133400,44130
4413111200101290000,4413111200,679200,44130
4413111200101300000,4413111200,411800,44130
4413111200101380000,4413111200,380400,44130
4413111200101410000,4413111200,321300,44130
4413111200101430000,4413111200,448100,44130
4413111200101450000,4413111200,280700,44130
4413111200101620000,4413111200,390300,44130
4413111200101750000,4413111200,237900,44130
4413111200101820000,4413111200,83600,44130
4413111200101860000,4413111200,517900,44130
4413111200102000000,4413111200,228000,44130
4413111200102200000,4413111200,363100,44130
4413111200102280000,4413111200,246700,44130
4413111200102360000,4413111200,676900,44130
4413111200102410000,4413111200,148700,44130
4413111200102430000,4413111200,237300,44130
4413111200102600000,4413111200,559700,44130
4413111200102680000,4413111200,524900,44130
4413111200102690000,4413111200,498500,44130
4413111200102710000,4413111200,71200,44130
4413111200102880000,4413111200,663200,44130
4413111200103010000,4413111200,640300,44130
4413111200103230000,4413111200,229300,44130
4413111200103340000,4413111200,337700,44130
4413111200103460000,4413111200,193000,44130
4413111200103740000,4413111200,769100,44130
4413111200103760000,4413111200,345600,44130
4413111200103910000,4413111200,483100,44130
4413111200103960000,4413111200,405700,44130
4413111200103980000,4413111200,364300,44130
4413111200103980000,4413111200,794000,44130
4413111200104060000,4413111200,389200,44130
4413111200200100000,4413111200,10900,44130
4413111200200340000,4413111200,8250,44130
4413111200200650000,4413111200,7400,44130
4413111300100010000,4413111300,1218000,44130
4413111300100050000,4413111300,565200,44130
4413111300100180000,4413111300,670200,44130
4413111300100190000,4413111300,1311000,44130
4413111300100200000,4413111300,1464000,44130
4413111300100240000,4413111300,1546000,44130
4413111300100300000,4413111300,690300,44130
4413111300100330000,4413111300,559900,44130
4413111300100380000,4413111300,572000,44130
4413111300100400000,4413111300,1447000,44130
4413111300100400000,4413111300,795900,44130
4413111300100400000,4413111300,657100,44130
4413111300100400000,4413111300,647800,44130
4413111300100400000,4413111300,1185000,44130
4413111300100400000,4413111300,692700,44130
4413111300100420000,4413111300,1471000,44130
4413111300100450000,4413111300,1443000,44130
4413111300100460000,4413111300,605100,44130
4413111300100480000,4413111300,1050000,44130
4413111300100480000,4413111300,1380000,44130
4413111300100480000,4413111300,1693000,44130
4413111300100510000,4413111300,621700,44130
4413111300100510000,4413111300,1784000,44130
4413111300100510000,4413111300,1423000,44130
4413111300100520000,4413111300,1133000,44130
4413111300100520000,4413111300,751300,44130
4413111300100540000,4413111300,641300,44130
4413111300100550000,4413111300,1279000,44130
4413111300100570000,4413111300,797700,44130
4413111300100600000,4413111300,1073000,44130
4413111300100650000,4413111300,663100,44130
4413111300101100000,4413111300,664000,44130
4413111300101100000,4413111300,677800,44130
4413111300101100000,4413111300,612800,44130
4413111300101170000,4413111300,616100,44130
4413111300101180000,4413111300,652500,44130
4413111300101310000,4413111300,647900,44130
4413111300101460000,4413111300,849700,44130
4413111300101680000,4413111300,347100,44130
